date,pagePath,deviceCategory,country,sessions,totalUsers,eventCount,engagementRate,averageSessionDuration
20260302,/,desktop,Japan,7,4,72,0.7142857142857143,397.4430344285715
20260218,/,desktop,Japan,5,3,66,0.6,679.0796358
20260218,/,mobile,Japan,5,2,75,0.6,610.1038274
20260222,/posts/nursing-assistant-medical-terms,mobile,Japan,5,2,52,0.4,397.1078156
20260303,/,desktop,Japan,5,1,26,0.8,56.3600496
20260303,/posts/nursing-assistant-patient-transfer-safety,mobile,Japan,5,2,22,0.4,1421.6077498
20260207,/posts/nursing-assistant-medical-terms,mobile,Japan,4,4,24,0.5,122.85141675
20260212,/,desktop,Japan,4,1,23,0.75,21.610253500000002
20260219,/,desktop,Japan,4,2,32,0.5,8.3016835
20260304,/,desktop,Japan,4,2,56,1.0,348.9140165
20260304,/posts/nursing-assistant-job-role-support,desktop,Japan,4,1,31,1.0,40.08765075
20260306,/,desktop,Japan,4,3,43,0.5,136.681995
20260211,/posts/nursing-assistant-interview-tips-compass,mobile,Japan,3,1,14,0.6666666666666666,166.614194
20260217,/,mobile,Japan,3,2,14,0.0,5.547215333333334
20260218,/posts/nursing-assistant-medical-terms,mobile,Japan,3,3,19,0.3333333333333333,6.193451333333333
20260220,/posts/nursing-assistant-patient-transfer-safety,desktop,Japan,3,3,20,0.6666666666666666,437.1819033333333
20260223,/posts/nursing-assistant-medical-terms,mobile,Japan,3,2,16,0.3333333333333333,173.75316566666666
20260223,/posts/nursing-assistant-resignation-advice-insights,mobile,Japan,3,1,9,0.0,2.001278
20260303,/posts/nursing-assistant-icu-emergency-duties,mobile,Japan,3,1,71,1.0,295.971548
20260308,/posts/nursing-assistant-medical-terms,mobile,Japan,3,3,22,1.0,99.12487066666667
20260207,/posts/nursing-assistant-infection-control-manual,desktop,Japan,2,2,19,1.0,95.4629305
20260209,/posts/nursing-assistant-interview-tips-pathway,mobile,Japan,2,1,11,0.0,6.393066
20260209,/posts/nursing-assistant-workplace-fit-insights,desktop,Japan,2,1,8,0.5,10.9758565
20260210,/posts/nursing-assistant-nightshift-fatigue,desktop,Japan,2,1,23,0.5,342.78389
20260211,/,mobile,Japan,2,1,11,0.5,14.2549505
20260211,/posts/nursing-assistant-nightshift-fatigue,desktop,Japan,2,1,81,1.0,357.30193
20260212,/posts/nursing-assistant-latest-salary-comparison,mobile,Japan,2,2,11,0.5,58.966564999999996
20260212,/posts/nursing-assistant-nightshift-fatigue,mobile,Japan,2,1,10,0.5,391.4751015
20260213,/,mobile,Japan,2,2,6,1.0,14.209414
20260213,/posts/nursing-assistant-infection-control-manual,desktop,Japan,2,2,19,1.0,326.9715025
20260213,/posts/nursing-assistant-patient-transfer-safety,desktop,Japan,2,2,14,0.5,23.485410499999997
20260213,/posts/nursing-assistant-resignation-advice-insights,desktop,Japan,2,2,18,0.5,56.1840105
20260213,/posts/nursing-assistant-resignation-advice-insights,mobile,Japan,2,2,8,1.0,32.180549
20260215,/posts/nursing-assistant-icu-emergency-duties,mobile,Japan,2,1,11,0.5,141.32936800000002
20260216,/posts/nursing-assistant-become-nurse-guide,desktop,Japan,2,2,13,1.0,776.034745
20260216,/posts/nursing-assistant-infection-control-manual,mobile,Japan,2,1,8,0.0,3.061962
20260217,/posts/nursing-assistant-medical-terms,desktop,Japan,2,1,10,0.5,40.0893235
20260218,/posts/nursing-assistant-infection-control-manual,desktop,Japan,2,2,14,1.0,45.9505155
20260219,/posts/nursing-assistant-medical-terms,mobile,Japan,2,2,16,0.5,105.062309
20260219,/posts/nursing-assistant-patient-transfer-safety,desktop,Japan,2,2,14,1.0,185.352692
20260220,/,desktop,United States,2,2,10,0.0,1.3515455
20260220,/posts/nursing-assistant-medical-terms,mobile,Japan,2,2,12,0.5,113.591762
20260221,/posts/nursing-assistant-career-change-journey,mobile,Japan,2,1,10,0.5,56.795307
20260223,/,desktop,United States,2,2,6,0.0,0.0
20260223,/posts/nursing-assistant-latest-salary-comparison,mobile,Japan,2,2,13,1.0,37.5212505
20260224,/posts/nursing-assistant-infection-control-manual,mobile,Japan,2,2,12,0.0,5.9923475
20260224,/posts/nursing-assistant-job-market-analysis,desktop,Japan,2,1,8,0.0,3.1283625
20260224,/posts/nursing-assistant-medical-terms,desktop,Japan,2,1,11,0.0,4.1156555
20260224,/posts/nursing-assistant-operating-room-duties,desktop,Japan,2,2,13,1.0,36.331419
20260225,/posts/nursing-assistant-medical-terms,desktop,Japan,2,2,13,0.5,8.621247
20260225,/posts/nursing-assistant-mental-care-support,desktop,Japan,2,1,7,0.0,3.0684565
20260227,/,desktop,Japan,2,1,19,0.5,2.5892295
20260227,/posts/nursing-assistant-operating-room-duties,mobile,Japan,2,2,14,1.0,38.4254075
20260227,/posts/nursing-assistant-resignation-advice-insights,mobile,Japan,2,1,4,0.0,0.0
20260228,/posts/nursing-assistant-medical-terms,mobile,Japan,2,2,12,0.5,40.7864475
20260228,/posts/nursing-assistant-resignation-advice-insights,mobile,Japan,2,2,9,0.0,5.925896
20260301,/posts/nursing-assistant-duties-scope,desktop,Japan,2,1,13,1.0,36.436635
20260302,/posts/nursing-assistant-infection-control-manual,mobile,Japan,2,2,16,0.5,208.6562905
20260303,/posts,mobile,Japan,2,1,4,1.0,6.307267
20260305,/posts/nursing-assistant-patient-transfer-safety,mobile,Japan,2,2,10,0.0,5.2247695
20260306,/categories/work,mobile,Japan,2,2,8,1.0,28.893795
20260306,/contact,desktop,Iran,2,2,10,1.0,3.6419155
20260306,/posts/nursing-assistant-icu-emergency-duties,mobile,Japan,2,2,12,0.5,197.202129
20260307,/,desktop,United States,2,2,10,0.0,3.8206125
20260308,/posts/nursing-assistant-icu-emergency-duties,mobile,Japan,2,1,10,0.5,234.383114
20260308,/posts/nursing-assistant-operating-room-duties,mobile,Japan,2,2,11,0.0,6.04766
20260207,/,mobile,Japan,1,1,1,1.0,5.013179
20260207,/categories,desktop,Iran,1,1,4,1.0,5.392679
20260207,/categories/license,desktop,Iran,1,1,4,1.0,4.985208
20260207,/contact,desktop,Iran,1,1,5,1.0,3.69638
20260207,/posts,desktop,Iran,1,1,4,1.0,8.598062
20260207,/posts/nursing-assistant-care-guide-compassa,desktop,Iran,1,1,4,1.0,8.215955
20260207,/posts/nursing-assistant-interview-tips-focus,desktop,Iran,1,1,4,1.0,1.298518
20260207,/posts/nursing-assistant-low-salary-reasons,mobile,Japan,1,1,10,1.0,15.244054
20260207,/posts/nursing-assistant-medical-terms,desktop,Japan,1,1,10,1.0,378.697943
20260207,/posts/nursing-assistant-night-shift-insights,mobile,Japan,1,1,1,1.0,32.005413
20260207,/posts/nursing-assistant-resignation-advice-key,desktop,Iran,1,1,4,1.0,1.414192
20260207,/posts/nursing-assistant-resignation-advice-support,desktop,Iran,1,1,4,1.0,1.431623
20260207,/posts/nursing-assistant-salary-update-insights,desktop,Iran,1,1,4,1.0,7.467872
20260207,/posts/nursing-assistant-salary-update-journey,desktop,Iran,1,1,4,1.0,5.008257
20260207,/posts/nursing-assistant-starting-salary-comparison,mobile,Japan,1,1,1,1.0,85.884773
20260207,/posts/nursing-assistant-what-is-guide,mobile,Japan,1,1,3,0.0,0.0
20260207,/quiz,desktop,Japan,1,1,5,1.0,11.875139
20260207,/quiz,mobile,Japan,1,1,5,1.0,164.649674
20260207,/sitemap,desktop,Iran,1,1,4,1.0,8.505909
20260207,/tags,desktop,Iran,1,1,4,1.0,5.548525
20260207,/tags/newcomer-notes,desktop,Iran,1,1,4,1.0,4.294659
20260208,/contact,desktop,Iran,1,1,6,1.0,3.566271
20260208,/posts/nursing-assistant-infection-control-manual,desktop,Japan,1,1,6,1.0,176.821877
20260208,/posts/nursing-assistant-medical-terms,mobile,Japan,1,1,5,0.0,5.169874
20260208,/posts/nursing-assistant-salary-update-insights,desktop,Germany,1,1,2,1.0,5.794266
20260208,/posts/nursing-assistant-salary-update-insights,desktop,Iran,1,1,2,1.0,1.352489
20260209,/posts/nursing-assistant-colleague-relationships,mobile,Japan,1,1,7,1.0,93.607573
20260209,/posts/nursing-assistant-icu-emergency-duties,mobile,Japan,1,1,6,0.0,5.360669
20260209,/posts/nursing-assistant-nightshift-fatigue,desktop,Japan,1,1,5,0.0,6.000342
20260209,/posts/nursing-assistant-operating-room-duties,mobile,Japan,1,1,6,0.0,5.962985
20260209,/posts/nursing-assistant-operating-room-duties,tablet,Japan,1,1,6,0.0,1.852932
20260209,/posts/nursing-assistant-patient-transfer-safety,desktop,Japan,1,1,16,1.0,1618.247564
20260210,/,mobile,Japan,1,1,5,0.0,5.943018
20260210,/posts/nursing-assistant-colleague-relationships,mobile,Japan,1,1,6,1.0,16.948986
20260210,/posts/nursing-assistant-infection-control-manual,mobile,Japan,1,1,6,0.0,5.311265
20260210,/posts/nursing-assistant-night-shift-duties,mobile,Japan,1,1,3,0.0,0.0
20260210,/posts/nursing-assistant-operating-room-duties,mobile,Japan,1,1,6,0.0,5.685461
20260210,/posts/nursing-assistant-patient-transfer-safety,desktop,Japan,1,1,7,1.0,39.399199
20260210,/posts/nursing-assistant-psychiatric-ward-duties,mobile,Japan,1,1,6,1.0,97.384405
20260211,/,desktop,Japan,1,1,1,1.0,5.013628
20260211,/about,desktop,Japan,1,1,4,1.0,11.79249
20260211,/about,mobile,Japan,1,1,1,1.0,4.943321
20260211,/categories/career-change,desktop,Japan,1,1,12,1.0,46.410356
20260211,/posts,desktop,Japan,1,1,1,1.0,5.017569
20260211,/posts/comparison-of-three-resignation-agencies,desktop,Japan,1,1,1,1.0,33.458083
20260211,/posts/nursing-assistant-care-guide-focusa,desktop,Japan,1,1,1,1.0,5.006949
20260211,/posts/nursing-assistant-care-guide-insightsa,desktop,Japan,1,1,1,1.0,4.999766
20260211,/posts/nursing-assistant-care-guide-journeya,desktop,Japan,1,1,1,1.0,5.003245
20260211,/posts/nursing-assistant-career-change-compass,desktop,Japan,1,1,1,1.0,4.994495
20260211,/posts/nursing-assistant-compare-services-perspective,desktop,Japan,1,1,1,1.0,5.295514
20260211,/posts/nursing-assistant-experience-story-patient,desktop,Japan,1,1,6,0.0,0.91173
20260211,/posts/nursing-assistant-icu-emergency-duties,mobile,Japan,1,1,6,0.0,6.261392
20260211,/posts/nursing-assistant-interview-tips-journey,desktop,Japan,1,1,1,1.0,4.997814
20260211,/posts/nursing-assistant-interview-tips-support,desktop,Japan,1,1,1,1.0,5.310748
20260211,/posts/nursing-assistant-long-term-insights,desktop,Japan,1,1,1,1.0,3.878688
20260211,/posts/nursing-assistant-medical-communication-skills,mobile,Japan,1,1,5,0.0,5.93316
20260211,/posts/nursing-assistant-mental-care-night,desktop,Japan,1,1,1,1.0,4.997821
20260211,/posts/nursing-assistant-relationship-distance-sera,desktop,Japan,1,1,1,1.0,4.999705
20260211,/posts/nursing-assistant-relationship-struggle-sera,desktop,Japan,1,1,1,1.0,5.003848
20260211,/posts/nursing-assistant-salary-update-journey,desktop,Japan,1,1,1,1.0,4.998609
20260211,/posts/nursing-assistant-vital-signs-support,desktop,Japan,1,1,22,1.0,1260.736615
20260212,/,mobile,Japan,1,1,7,1.0,13.740401
20260212,/about,desktop,Japan,1,1,1,1.0,4.996807
20260212,/categories/career-change,desktop,Japan,1,1,6,1.0,8.101694
20260212,/posts,desktop,Japan,1,1,1,1.0,5.002025
20260212,/posts/comparison-of-three-resignation-agencies,desktop,Japan,1,1,1,1.0,17.902516
20260212,/posts/nursing-assistant-icu-emergency-duties,mobile,Japan,1,1,6,0.0,5.931292
20260212,/posts/nursing-assistant-infection-control-manual,desktop,Japan,1,1,6,0.0,5.995864
20260212,/posts/nursing-assistant-infection-control-manual,mobile,Japan,1,1,5,0.0,5.202689
20260212,/posts/nursing-assistant-medical-terms,mobile,Japan,1,1,6,0.0,5.649584
20260212,/posts/nursing-assistant-mental-care-focus,mobile,Japan,1,1,1,1.0,5.006305
20260212,/posts/nursing-assistant-resignation-advice-insights,desktop,Japan,1,1,15,1.0,1394.501403
20260212,/posts/nursing-assistant-resignation-advice-workplace,desktop,Japan,1,1,9,1.0,25.123511
20260213,/,desktop,Japan,1,1,4,0.0,6.549478
20260213,/about,desktop,Japan,1,1,5,0.0,2.59087
20260213,/posts,mobile,Japan,1,1,13,1.0,3322.138989
20260213,/posts/nursing-assistant-career-change-experience,mobile,Japan,1,1,1,1.0,183.252477
20260213,/posts/nursing-assistant-infection-control-manual,mobile,Japan,1,1,9,1.0,50.530626
20260213,/posts/nursing-assistant-interview-tips-compass,mobile,Japan,1,1,2,1.0,331.571741
20260213,/posts/nursing-assistant-interview-tips-pathway,mobile,Japan,1,1,11,1.0,26.672046
20260213,/posts/nursing-assistant-medical-terms,mobile,Japan,1,1,5,0.0,6.036341
20260213,/posts/nursing-assistant-operating-room-duties,mobile,Japan,1,1,11,1.0,88.400931
20260213,/posts/nursing-assistant-patient-transfer-safety,mobile,Japan,1,1,7,1.0,10.696608
20260213,/posts/nursing-assistant-resignation-advice-support,mobile,Japan,1,1,9,1.0,170.117508
20260214,/,desktop,Japan,1,1,4,0.0,5.955221
20260214,/categories,desktop,Iran,1,1,4,1.0,8.545891
20260214,/categories/career-change,desktop,Iran,1,1,4,1.0,5.991313
20260214,/categories/license,desktop,Iran,1,1,4,1.0,2.113149
20260214,/categories/stories,desktop,Iran,1,1,4,1.0,5.137798
20260214,/contact,desktop,Iran,1,1,5,1.0,4.233524
20260214,/posts,desktop,Iran,1,1,4,1.0,5.013538
20260214,/posts,mobile,Japan,1,1,5,0.0,7.242205
20260214,/posts/nursing-assistant-become-nurse-guide,desktop,Japan,1,1,6,1.0,110.454805
20260214,/posts/nursing-assistant-before-quitting-considerations,desktop,Japan,1,1,1,1.0,62.940908
20260214,/posts/nursing-assistant-career-change-job,desktop,Iran,1,1,4,1.0,1.565922
20260214,/posts/nursing-assistant-interview-tips-compass,desktop,Iran,1,1,4,1.0,5.378288
20260214,/posts/nursing-assistant-interview-tips-pathway,desktop,Iran,1,1,4,1.0,4.833423
20260214,/posts/nursing-assistant-resignation-advice-insights,desktop,Japan,1,1,16,1.0,47.581234
20260214,/posts/nursing-assistant-resignation-advice-key,desktop,Iran,1,1,4,1.0,5.411308
20260214,/posts/nursing-assistant-resignation-advice-support,desktop,Iran,1,1,4,1.0,7.743408
20260214,/posts/nursing-assistant-salary-update-insights,desktop,Iran,1,1,4,1.0,6.575063
20260214,/posts/nursing-assistant-salary-update-journey,desktop,Iran,1,1,4,1.0,4.280272
20260214,/posts/nursing-assistant-salary-update-support,desktop,Iran,1,1,4,1.0,4.879721
20260214,/tags,desktop,Iran,1,1,4,1.0,4.547028
20260214,/tags/newcomer-notes,desktop,Iran,1,1,4,1.0,5.597571
20260214,/terms,desktop,Iran,1,1,3,1.0,4.184682
20260215,/,desktop,Japan,1,1,6,0.0,7.28011
20260215,/,mobile,Japan,1,1,5,0.0,4.525511
20260215,/posts/nursing-assistant-colleague-relationships,mobile,Japan,1,1,6,0.0,5.96571
20260215,/posts/nursing-assistant-infection-control-manual,mobile,Japan,1,1,6,0.0,5.900259
20260215,/posts/nursing-assistant-latest-salary-comparison,mobile,Japan,1,1,6,1.0,87.302475
20260215,/posts/nursing-assistant-resignation-advice-insights,mobile,Japan,1,1,6,1.0,41.285046
20260215,/posts/nursing-assistant-resignation-advice-support,mobile,Japan,1,1,6,0.0,5.763024
20260216,/,desktop,Japan,1,1,5,0.0,0.003596
20260216,/posts/nursing-assistant-fee-revision-impact,mobile,Japan,1,1,6,0.0,5.869072
20260216,/posts/nursing-assistant-icu-emergency-duties,mobile,Japan,1,1,15,1.0,173.537749
20260216,/posts/nursing-assistant-interview-tips-compass,mobile,Japan,1,1,6,0.0,1.213686
20260216,/posts/nursing-assistant-medical-terms,mobile,Japan,1,1,9,1.0,995.368562
20260216,/posts/nursing-assistant-night-shift-practical,mobile,Japan,1,1,1,1.0,422.444772
20260216,/posts/nursing-assistant-operating-room-duties,mobile,Japan,1,1,6,0.0,5.938207
20260216,/posts/nursing-assistant-patient-transfer-safety,mobile,Japan,1,1,6,0.0,5.934827
20260216,/posts/nursing-assistant-quitting-relationships,desktop,Japan,1,1,7,1.0,933.209647
20260216,/posts/nursing-assistant-role-responsibility-team,mobile,Japan,1,1,5,0.0,6.086481
20260216,/posts/nursing-assistant-terminology-guide,mobile,Japan,1,1,1,1.0,6.628059
20260217,/,desktop,Japan,1,1,9,1.0,16.806777
20260217,/posts/nursing-assistant-interview-tips-pathway,mobile,Japan,1,1,5,0.0,0.534979
20260217,/posts/nursing-assistant-resignation-advice-insights,desktop,Japan,1,1,11,1.0,117.171421
20260217,/posts/nursing-assistant-resignation-advice-insights,mobile,Japan,1,1,7,1.0,144.862964
20260217,/posts/nursing-assistant-role-responsibility-team,mobile,Japan,1,1,5,0.0,5.757092
20260217,/posts/nursing-assistant-salary-difference-nurses,desktop,Japan,1,1,7,0.0,8.195396
20260217,/search,desktop,Japan,1,1,1,1.0,0.011865
20260218,/about,mobile,Japan,1,1,6,1.0,326.527479
20260218,/posts/nursing-assistant-emr-system-changes,mobile,Japan,1,1,6,1.0,37.499237
20260218,/posts/nursing-assistant-interview-questions-answers,desktop,Japan,1,1,7,1.0,723.612105
20260218,/posts/nursing-assistant-mental-care-compass,mobile,Japan,1,1,1,0.0,0.0
20260218,/posts/nursing-assistant-patient-transfer-safety,mobile,Japan,1,1,5,0.0,6.05164
20260218,/posts/nursing-assistant-role-responsibility-team,mobile,Japan,1,1,3,0.0,317.68124
20260218,/posts/nursing-assistant-salary-differences,desktop,United States,1,1,3,0.0,0.0
20260218,/quiz,mobile,Japan,1,1,5,1.0,111.509802
20260219,/,mobile,Japan,1,1,9,1.0,70.374735
20260219,/about,mobile,Japan,1,1,13,1.0,29.036262
20260219,/contact,mobile,Japan,1,1,5,1.0,32.569699
20260219,/posts,desktop,Japan,1,1,1,1.0,5.004434
20260219,/posts,mobile,Japan,1,1,3,1.0,61.214608
20260219,/posts/nursing-assistant-appeal-physical-strength,mobile,Japan,1,1,5,0.0,5.987288
